"Term base ID","Term ID","Content ID","Project ID","Project title","Segment ID",Language,text,Forbidden,Preferred,"Exact match","Case sensitive",Status,Comment,"Created by","Last modified by","Created at","Updated at"
1291,1239707,359595,,,,Arabic,"End Date",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239707,359596,,,,English,"تاريخ الانتهاء",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239708,359597,,,,Arabic,Consultations,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239708,359598,,,,English,استشارات,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239709,359599,,,,Arabic,"Our consulting services provide expert advice and strategies",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239709,359600,,,,English,"توفر خدماتنا الاستشارية",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239710,359601,,,,Arabic,MISSION,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239710,359602,,,,English,مهمة,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239711,359603,,,,Arabic,STATUS,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239711,359604,,,,English,حالة,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239712,359605,,,,Arabic,Design,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239712,359606,,,,English,تصميم,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239713,359607,,,,Arabic,Completed,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239713,359608,,,,English,اكتمل,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239714,359609,,,,Arabic,"Development of",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239714,359610,,,,English,تطوير,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239715,359611,,,,Arabic,"In Progress",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239715,359612,,,,English,"قيد التقدم",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239716,359613,,,,Arabic,Research,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239716,359614,,,,English,بحث,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239717,359615,,,,Arabic,Pending,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239717,359616,,,,English,معلق,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239718,359617,,,,Arabic,"Contact Us section",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239718,359618,,,,English,"اتصل بنا",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239719,359619,,,,Arabic,"If you have any questions or would like to know more about our services please feel free to contact us",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239719,359620,,,,English,"إذا كانت لديك أي أسئلة",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239720,359621,,,,Arabic,"Our team is here to help you and provide the information you need",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239720,359622,,,,English,"فريقنا هنا لمساعدتك",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239721,359623,,,,Arabic,"Contact details",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239721,359624,,,,English,"Contact details",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239722,359625,,,,Arabic,"Email: info@company",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239722,359626,,,,English,"البريد الإلكتروني: info@company",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239723,359627,,,,Arabic,com,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239723,359628,,,,English,com,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239724,359629,,,,Arabic,"Tel: +XXX-XXX-XXXX",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239724,359630,,,,English,"الهاتف: +XXX-XXX-XXXX",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239687,359640,0,,0,French,asd.sadk,False,False,False,False,Approved,,"Fawzi Ghanem",,"2025-01-06 11:31:51","2025-04-28 00:00:00"
1291,1240764,361714,94476,020_AR.html,288311712,Arabic,توقعات,False,False,False,False,Suggest,no,"firstname lastname",,"2025-01-19 11:30:52","2025-04-28 00:00:00"
1291,1240764,361715,94476,020_AR.html,288311712,English,expectations,False,False,False,False,Suggest,no,"firstname lastname",,"2025-01-19 11:30:52","2025-04-28 00:00:00"
